FROM STATION ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,ZIP
29,Noble St & Milwaukee Ave,15,15,In Service,41.90068,-87.6626,"(41.90068, -87.6626)",60642
268,DuSable Lake Shore Dr & North Blvd,39,39,In Service,41.911722,-87.626804,"(41.911722, -87.626804)",60614
52,Michigan Ave & Lake St,35,35,In Service,41.886024,-87.624117,"(41.886024, -87.624117)",60601
176,Clark St & Elm St,39,39,In Service,41.902973,-87.63128,"(41.902973, -87.63128)",60610
286,Franklin St & Adams St (Temp),15,15,In Service,41.87943409,-87.63550401,"(41.87943409140013, -87.63550400733948)",60606
350,Ashland Ave & Chicago Ave,15,15,In Service,41.89517271,-87.66754702,"(41.8951727127816, -87.66754701733589)",60622
214,Damen Ave & Grand Ave,23,23,In Service,41.89239445,-87.67688513,"(41.892394452962705, -87.67688512802124)",60612
51,Clark St & Randolph St,43,43,In Service,41.88457623,-87.63188991,"(41.884576228, -87.63188991)",60601
305,Western Ave & Division St,23,23,In Service,41.902893,-87.687275,"(41.902893, -87.687275)",60622
217,Elizabeth (May) St & Fulton St,15,15,In Service,41.88661649,-87.65803993,"(41.886616486027656, -87.6580399274826)",60607
255,Indiana Ave & Roosevelt Rd,39,39,In Service,41.867888,-87.623041,"(41.867888, -87.623041)",60605
209,Normal Ave & Archer Ave,11,11,In Service,41.849527,-87.640591,"(41.849527, -87.640591)",60616
259,California Ave & Francis Pl (Temp),15,15,In Service,41.91849115,-87.6974228,"(41.91849115368695, -87.69742280244827)",60647
126,Clark St & North Ave,15,15,In Service,41.911974,-87.631942,"(41.911974, -87.631942)",60614
315,Elston Ave & Wabansia Ave,23,23,In Service,41.912919,-87.664169,"(41.912919, -87.664169)",60642
87,Racine Ave & Fullerton Ave,19,19,In Service,41.92556258,-87.65840426,"(41.92556258, -87.65840426)",60612
66,Clinton St & Lake St,23,23,In Service,41.885637,-87.641823,"(41.885637, -87.641823)",60661
