ward,zip,percentage_intersection
1,60647,48.2898432521557
10,60617,58.089290090970124
11,60609,45.20726802144599
12,60609,31.127593973017653
13,60629,59.17002793793073
14,60632,83.60661939158267
15,60636,34.74321122159875
16,60636,41.46680012215832
17,60620,36.03402524932445
18,60652,69.79632169790214
19,60655,53.88052759412396
2,60614,26.95550930864203
20,60637,46.415567949935706
21,60620,84.70940744183537
22,60623,61.91491635416669
23,60638,60.28297918629264
24,60623,61.80976019883151
25,60608,65.45641695955511
26,60622,31.705962884218447
27,60612,43.68731756508898
28,60624,37.87104591445725
29,60644,41.94019580875513
3,60609,34.117937316863674
30,60641,33.782953764131165
31,60641,51.32896130225021
32,60647,38.68506073421916
33,60618,68.35302523748433
34,60643,54.150331008350214
35,60618,43.01261911010967
36,60639,42.18919286716204
37,60651,57.931802695070814
38,60634,77.57981227317316
39,60646,41.53681420944521
4,60653,32.44942807282033
40,60625,40.443899250787766
41,60666,58.24960992523083
42,60611,26.26795920553314
43,60614,95.37820655733029
44,60657,80.88420041466375
45,60630,52.3019927846177
46,60613,47.75384837107067
47,60618,35.110942129933306
48,60660,52.5474623242763
49,60626,87.11710071847361
5,60637,45.46567381764078
50,60645,69.13259649783055
6,60619,46.91395775397874
7,60617,72.09192680906649
8,60619,46.59478362827816
9,60628,70.20883629064203
