WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
101,1,1,April,4,"1,2"
101,1,1,May,5,"6,7"
101,1,1,June,6,"3,4"
101,1,1,July,7,"1,2"
101,1,1,August,8,"5,6"
101,1,1,September,9,"2,3"
101,1,1,October,10,"1,7"
101,1,1,November,11,"4,5"
102,1,2,April,4,"3,4"
102,1,2,May,5,"1,2"
102,1,2,June,6,"5,6"
102,1,2,July,7,3
102,1,2,August,8,"1,7"
102,1,2,September,9,"4,5"
102,1,2,October,10,"2,3"
102,1,2,November,11,"6,7"
103,1,3,April,4,"8,9"
103,1,3,May,5,"13,14"
103,1,3,June,6,"10,11"
103,1,3,July,7,"8,9"
103,1,3,August,8,"12,13"
103,1,3,September,9,"9,10"
103,1,3,October,10,"8,14"
103,1,3,November,11,"11,12"
104,1,4,April,4,"10,11"
104,1,4,May,5,"8,9"
104,1,4,June,6,"12,13"
104,1,4,July,7,"10,11"
104,1,4,August,8,"8,14"
104,1,4,September,9,"11,12"
104,1,4,October,10,"9,10"
104,1,4,November,11,"13,14"
105,1,5,April,4,"15,16"
105,1,5,May,5,"20,21"
105,1,5,June,6,"17,18"
105,1,5,July,7,"15,16"
105,1,5,August,8,"19,20"
105,1,5,September,9,"16,17"
105,1,5,October,10,"15,21"
105,1,5,November,11,"18,19"
106,1,6,April,4,"17,18"
106,1,6,May,5,"15,16"
106,1,6,June,6,"19,20"
106,1,6,July,7,"17,18"
106,1,6,August,8,"15,21"
106,1,6,September,9,"18,19"
106,1,6,October,10,"16,17"
106,1,6,November,11,"20,21"
107,1,7,April,4,"22,23"
107,1,7,May,5,"27,28"
107,1,7,June,6,"24,25"
107,1,7,July,7,"22,23"
107,1,7,August,8,"26,27"
107,1,7,September,9,"23,24"
107,1,7,October,10,"22,28"
108,1,8,April,4,"24,25"
108,1,8,May,5,"22,23"
108,1,8,June,6,"26,27"
108,1,8,July,7,"24,25"
108,1,8,August,8,"22,28"
108,1,8,September,9,"25,26"
108,1,8,October,10,"23,24"
109N,1,09N,APRIL,4,"7, 14"
109N,1,09N,MAY,5,"5, 12"
109N,1,09N,JUNE,6,"9, 16"
109N,1,09N,JULY,7,"14, 21"
109N,1,09N,AUGUST,8,"11, 18"
109N,1,09N,SEPTEMBER,9,"15, 22"
109N,1,09N,OCTOBER,10,"20, 27"
109S,1,09S,APRIL,4,"21, 28"
109S,1,09S,MAY,5,19
109S,1,09S,JUNE,6,"2, 23"
109S,1,09S,JULY,7,"7, 28"
109S,1,09S,AUGUST,8,"4, 25"
109S,1,09S,SEPTEMBER,9,"8, 29"
109S,1,09S,OCTOBER,10,6
109S,1,09S,NOVEMBER,11,"3, 10"
201,2,1,April,4,"1,2"
201,2,1,May,5,"7,8"
201,2,1,June,6,"13,16"
201,2,1,July,7,"22,23"
201,2,1,August,8,"27,28"
201,2,1,October,10,"3,6"
201,2,1,November,11,"11,12"
202,2,2,April,4,"3,4"
202,2,2,May,5,"12,13"
202,2,2,June,6,"17,18"
202,2,2,July,7,"24,25"
202,2,2,August,8,29
202,2,2,September,9,2
202,2,2,October,10,"7,8"
202,2,2,November,11,"13,14"
203,2,3,April,4,"7,8"
203,2,3,May,5,"13,14"
203,2,3,June,6,"19,20"
203,2,3,July,7,"28,29"
203,2,3,September,9,"3,4"
203,2,3,October,10,"9,10"
203,2,3,November,11,"17,18"
204,2,4,April,4,"9,10"
204,2,4,May,5,"15,16"
204,2,4,June,6,"23,24"
204,2,4,July,7,"30,31"
204,2,4,September,9,"5,8"
204,2,4,October,10,"14,15"
204,2,4,November,11,"19,20"
205,2,5,April,4,"11,14"
205,2,5,May,5,"19,20"
205,2,5,June,6,"25,26"
205,2,5,August,8,"1,4"
205,2,5,September,9,"9,10"
205,2,5,October,10,"16,17"
206,2,6,April,4,"15,16"
206,2,6,May,5,"21,22"
206,2,6,June,6,"27,30"
206,2,6,August,8,"5,6"
206,2,6,September,9,"11,12"
206,2,6,October,10,"20,21"
207,2,7,April,4,"17,18"
207,2,7,May,5,"23,27"
207,2,7,July,7,"1,2"
207,2,7,August,8,"7,8"
207,2,7,September,9,"15,16"
207,2,7,October,10,"22,23"
208,2,8,April,4,"21,22"
208,2,8,May,5,"28,29"
208,2,8,July,7,"3,7"
208,2,8,August,8,"11,12"
208,2,8,September,9,"17,18"
208,2,8,October,10,"24,27"
209,2,9,April,4,"23,24"
209,2,9,May,5,30
209,2,9,June,6,2
209,2,9,July,7,"8,9"
209,2,9,August,8,"13,14"
209,2,9,September,9,"19,22"
209,2,9,October,10,"28,29"
210,2,10,April,4,"25,28"
210,2,10,June,6,"3,4"
210,2,10,July,7,"10,11"
210,2,10,August,8,"15,18"
210,2,10,September,9,"23,24"
210,2,10,October,10,"30,31"
211,2,11,April,4,"29,30"
211,2,11,June,6,"5,6"
211,2,11,July,7,"14,15"
211,2,11,August,8,"19,20"
211,2,11,September,9,"25,26"
211,2,11,November,11,"3,4"
212,2,12,May,5,"1,2"
212,2,12,June,6,"9,10"
212,2,12,July,7,"16,17"
212,2,12,August,8,"21,22"
212,2,12,September,9,"29,30"
212,2,12,November,11,"5,6"
213,2,13,May,5,"5,6"
213,2,13,June,6,"11,12"
213,2,13,July,7,"18,21"
213,2,13,August,8,"25,26"
213,2,13,October,10,"1,2"
213,2,13,November,11,"7,10"
301,3,1,APRIL,4,"1,2"
301,3,1,MAY,5,"21,22"
301,3,1,JULY,7,"14,15"
301,3,1,SEPTEMBER,9,"3,4"
301,3,1,OCTOBER,10,"24,27"
302,3,2,APRIL,4,"3,4"
302,3,2,MAY,5,"23,27"
302,3,2,JULY,7,"16,17"
302,3,2,SEPTEMBER,9,"5,8"
302,3,2,OCTOBER,10,"28,29"
303,3,3,APRIL,4,"7,8"
303,3,3,MAY,5,"28,29"
303,3,3,JULY,7,"18,21"
303,3,3,SEPTEMBER,9,"9,10"
303,3,3,OCTOBER,10,"30,31"
304,3,4,APRIL,4,"9,10"
304,3,4,MAY,5,30
304,3,4,JUNE,6,2
304,3,4,JULY,7,"22,23"
304,3,4,SEPTEMBER,9,"11,12"
304,3,4,NOVEMBER,11,"3,4"
305,3,5,APRIL,4,"11,4"
305,3,5,JUNE,6,"3,4"
305,3,5,JULY,7,"24,25"
305,3,5,SEPTEMBER,9,"15,16"
305,3,5,NOVEMBER,11,"5,6"
306,3,6,APRIL,4,"15,16"
306,3,6,JUNE,6,"5,6"
306,3,6,JULY,7,"28,29"
306,3,6,SEPTEMBER,9,"17,18"
306,3,6,NOVEMBER,11,"7,10"
307,3,7,APRIL,4,"17,18"
307,3,7,JUNE,6,"9,10"
307,3,7,JULY,7,"30,31"
307,3,7,SEPTEMBER,9,"19,22"
307,3,7,NOVEMBER,11,"11,12"
308,3,8,APRIL,4,"21,22"
308,3,8,JUNE,6,"11,12"
308,3,8,AUGUST,8,"1,4"
308,3,8,SEPTEMBER,9,"23,24"
308,3,8,NOVEMBER,11,"13,14"
309,3,9,APRIL,4,"23,24"
309,3,9,JUNE,6,"13,16"
309,3,9,AUGUST,8,"5,6"
309,3,9,SEPTEMBER,9,"25,26"
309,3,9,NOVEMBER,11,"17,18"
310,3,10,APRIL,4,"25,28"
310,3,10,JUNE,6,"17,18"
310,3,10,AUGUST,8,"7,8"
310,3,10,SEPTEMBER,9,"29,30"
310,3,10,NOVEMBER,11,"19,20"
311,3,11,APRIL,4,"29,30"
311,3,11,JUNE,6,"19,20"
311,3,11,AUGUST,8,"11,12"
311,3,11,OCTOBER,10,"1,2"
311,3,11,NOVEMBER,11,21
312,3,12,MAY,5,"1,2"
312,3,12,JUNE,6,"23,24"
312,3,12,AUGUST,8,"13,14"
312,3,12,OCTOBER,10,"3,6"
313,3,13,MAY,5,"5,6"
313,3,13,JUNE,6,"25,26"
313,3,13,AUGUST,8,"15,18"
313,3,13,OCTOBER,10,"7,8"
314,3,14,MAY,5,"7,8"
314,3,14,JUNE,6,"27,30"
314,3,14,AUGUST,8,"19,20"
314,3,14,OCTOBER,10,"9,10"
315,3,15,MAY,5,"9,12"
315,3,15,JULY,7,"1,2"
315,3,15,AUGUST,8,"21,22"
315,3,15,OCTOBER,10,"14,15"
316,3,16,MAY,5,"13,14"
316,3,16,JULY,7,"3,7"
316,3,16,AUGUST,8,"25,26"
316,3,16,OCTOBER,10,"16,17"
317,3,17,MAY,5,"15,16"
317,3,17,JULY,7,"8,9"
317,3,17,AUGUST,8,"27,28"
317,3,17,OCTOBER,10,"20,21"
318,3,18,MAY,5,"19,20"
318,3,18,JULY,7,"10,11"
318,3,18,AUGUST,8,29
318,3,18,SEPTEMBER,9,2
318,3,18,OCTOBER,10,"22,23"
401,4,1,APRIL,4,"1,2"
401,4,1,MAY,5,"15,16"
401,4,1,JUNE,6,"25,26"
401,4,1,JULY,7,"8,9"
401,4,1,AUGUST,8,"21,22"
401,4,1,OCTOBER,10,"9,10"
402,4,2,APRIL,4,"3,4"
402,4,2,MAY,5,"19,20"
402,4,2,JULY,7,"10,11"
402,4,2,AUGUST,8,"25,26"
402,4,2,OCTOBER,10,"15,16"
403,4,3,APRIL,4,"7,8"
403,4,3,MAY,5,"21,22"
403,4,3,JUNE,6,"27,30"
403,4,3,JULY,7,"14,15"
403,4,3,AUGUST,8,"27,28"
403,4,3,OCTOBER,10,"17,20"
404,4,4,APRIL,4,"9,10"
404,4,4,MAY,5,"28,29"
404,4,4,JULY,7,"16,17"
404,4,4,SEPTEMBER,9,"3,4"
404,4,4,OCTOBER,10,"21,22"
405,4,5,APRIL,4,"11,14"
405,4,5,MAY,5,30
405,4,5,JUNE,6,2
